Squad,Comp,Player,Nation,Age,Born,Mins_Per_90,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,GA,GA90,SoTA,Saves,Save_percent,D,L,CS,CS_percent,PKatt_Penalty,PKA_Penalty,PKsv_Penalty,PKm_Penalty,Save_percent_Penalty,GA_Goals,PKA_Goals,FK_Goals,CK_Goals,OG_Goals,PSxG_Expected,PSxG_per_SoT_Expected,PSxG+_per__minus__Expected,_per_90_Expected,Cmp_Launched,Att_Launched,Cmp_percent_Launched,Att_Passes,Thr_Passes,Launch_percent_Passes,AvgLen_Passes,Att_Goal,Launch_percent_Goal,AvgLen_Goal,Opp_Crosses,Stp_Crosses,Stp_percent_Crosses,#OPA_Sweeper,#OPA_per_90_Sweeper,AvgDist_Sweeper,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Won_percent_Aerial,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,Ast,xAG,xA,A_minus_xAG,KP,Final_Third,PPA,CrsPA,PrgP,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Succ_percent_Take,Tkld_Take,Tkld_percent_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,xG_Expected,npxG_Expected,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Mins_Per_90_Playing,Gls,G+A,G_minus_PK,PK,PKatt,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per,Url,Name,Birth,Position,Value
Liverpool,Premier League,Alisson,BRA,0.783783784,53.83783784,37,0,0,0,0,0,0,0.081081081,0,0.081081081,0.081081081,0,0.081081081,0,0,0.540540541,0,0.081081081,0.08,0.081081081,0,0,0,0,0,0.054054054,0.05,0.054054054,0,0,0,0,0,1.162162162,1.16,3.972972973,2.837837838,72.1,0.243243243,0.243243243,0.378378378,37.8,0.108108108,0.054054054,0.027027027,0.027027027,33.3,1.162162162,0.054054054,0,0,0.054054054,1.381081081,0.33,10.1,0.27,3.135135135,7.648648649,41,33.94594595,5.675675676,18.4,0.727027027,5.216216216,26.9,0.845945946,10.72972973,0.621621622,5.8,89,2.41,19.8,0.027027027,0,0,0.027027027,0.135135135,0,0,0,0,0,0,1.918918919,0.297297297,0.027027027,91.7,33.54054054,39.27027027,85.4,784.9459459,505.2972973,8.297297297,8.351351351,99.4,17.75675676,18,98.6,7.378378378,12.67567568,58.2,0.027027027,0.008108108,0,0.018918919,0.027027027,0.432432432,0,0,0.081081081,39.27027027,32.40540541,6.756756757,1.540540541,0,0.054054054,0,0,0,0,0,0,33.54054054,0.108108108,0.027027027,41.51351351,30.37837838,40.48648649,1.054054054,0,0,41.51351351,0.054054054,0.054054054,100,0,0,26.62162162,125.7837838,80.05405405,0,0,0,0.027027027,0,24.35135135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0.027027027,0,0,0,0.008108108,0.008108108,0,0.081081081,0,0,0.03,0.03,0,0.03,0,0.01,0.01,0,0.01,https://fbref.com/en/players/7a2e46a8/Alisson,Alisson,10/2/1992,Goalkeeper,35000000
Fulham,Premier League,Bernd Leno,GER,0.833333333,55.33333333,36,0,0,0,0,0,0,0.055555556,0,0.055555556,0,0,0,0,0,0.5,0,0.055555556,0.06,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,1.416666667,1.42,5.333333333,3.944444444,77.1,0.138888889,0.444444444,0.222222222,22.2,0.222222222,0.194444444,0.027777778,0,12.5,1.416666667,0.194444444,0.027777778,0.222222222,0.055555556,1.611111111,0.27,9,0.25,3.444444444,10.86111111,31.7,32.02777778,5.277777778,26,0.833333333,6.722222222,37.6,1,12.88888889,0.972222222,7.5,46,1.28,15,0.083333333,0,0,0.027777778,0.083333333,0,0,0,0,0.027777778,0,1.388888889,0.305555556,0,100,30.83333333,38.80555556,79.5,749.3055556,455.0833333,6.5,6.527777778,99.6,18.08333333,18.19444444,99.4,6.194444444,13.97222222,44.3,0,0,0,0,0.027777778,0.305555556,0,0,0,38.80555556,28.91666667,9.833333333,3.111111111,0,0.055555556,0,0,0,0,0,0,30.83333333,0.055555556,0,41.63888889,33,41.44444444,0.194444444,0,0,41.63888889,0,0,0,0,0,23.80555556,112.7777778,65.41666667,0,0,0,0.027777778,0,20.88888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/2628fd2b/Bernd-Leno,Bernd Leno,3/4/1992,Goalkeeper,12000000
Barcelona,La Liga,Marc-André ter Stegen,GER,0.806692561,53.56438602,37.2,0,0,0,0,0,0,0,0,0,0,0,0,0.026889752,0.026889752,0.188228264,0.080669256,0.322677024,0.32,0.295787272,0.026889752,0,0,0,0,0.026889752,0.03,0.026889752,0,0,0,0,0,0.484015536,0.48,2.635195698,2.231849417,84.7,0.107559008,0.161338512,0.699133552,68.4,0.080669256,0.080669256,0,0,0,0.484015536,0.080669256,0,0.053779504,0.080669256,0.637287123,0.21,8.7,0.23,4.517478339,9.008066926,50.1,32.6710487,4.974604123,22.1,0.777113833,5.297281147,34,0.946519271,9.895428742,0.484015536,4.9,41,1.1,16.4,0,0,0,0,0.053779504,0,0,0,0,0,0,1.855392889,0.161338512,0.026889752,85.7,32.07947416,37.96832985,84.5,825.5960562,578.8556917,6.13086346,6.238422468,98.3,16.13385121,16.48341799,97.9,9.73409023,15.16582014,64.2,0,0.008066926,0,-0.008066926,0.080669256,0.40334628,0,0,0.107559008,37.96832985,30.78876606,7.179563788,1.855392889,0,0.161338512,0,0.026889752,0,0,0,0,32.07947416,0,0,39.17836869,28.93337317,38.6136839,0.591574544,0,0,39.17836869,0,0,0,0,0,25.89483119,131.4102181,92.09740066,0,0,0,0.026889752,0.026889752,22.88317897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.2,0,0,0,0,0,0.008066926,0.008066926,0,0.107559008,0,0,0,0,0,0,0,0.01,0.01,0,0.01,https://fbref.com/en/players/6f51e382/Marc-Andre-ter-Stegen,Marc-André ter Stegen,4/30/1992,Goalkeeper,35000000
Elche,La Liga,Édgar Badía,ESP,0.833333333,55.33333333,36,0.027777778,0,0.027777778,0,0,0.027777778,0.055555556,50,0.027777778,0,0,0,0,0.027777778,0.527777778,0.083333333,0.083333333,0.08,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,1.75,5.555555556,3.777777778,72,0.277777778,0.583333333,0.111111111,11.1,0.277777778,0.194444444,0.083333333,0,30,1.75,0.194444444,0,0.111111111,0.055555556,1.930555556,0.31,8.5,0.24,5.305555556,11.72222222,45.3,21.44444444,4.611111111,33.8,0.95,8.222222222,54.4,1.158333333,15.94444444,0.583333333,3.7,20,0.56,12.7,0.055555556,0,0,0.027777778,0.166666667,0,0,0,0,0.027777778,0,0.916666667,0.222222222,0.027777778,88.9,21.97222222,29.77777778,73.8,668.9166667,499.9444444,2.833333333,2.861111111,99,10.58333333,10.91666667,96.9,8.5,15.83333333,53.7,0,0,0,0,0,0.277777778,0,0,0,29.77777778,18.5,11.16666667,2.944444444,0,0.027777778,0,0,0,0,0,0,21.97222222,0.111111111,0,33.02777778,30.83333333,33,0.055555556,0,0,33.02777778,0,0,0,0,0,16.63888889,89.69444444,53.80555556,0,0,0,0.055555556,0,11.13888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/e4346678/Edgar-Badia,Édgar Badía,2/12/1992,Goalkeeper,3000000
Clermont Foot,Ligue 1,Mory Diaw,SEN,0.783783784,53.86486486,37,0,0,0,0,0,0,0.108108108,0,0.108108108,0,0,0,0.054054054,0.054054054,0.351351351,0.135135135,0.189189189,0.19,0.162162162,0.027027027,0,0,0,0,0,0,0,0,0,0,0,0,1.27027027,1.27,4.351351351,2.972972973,75.8,0.216216216,0.324324324,0.27027027,27,0.324324324,0.216216216,0.108108108,0,33.3,1.27027027,0.216216216,0,0.135135135,0,1.497297297,0.28,8.4,0.23,6.351351351,16.24324324,39.1,32.67567568,4.675675676,40,1,6.891891892,45.9,1.091891892,12.54054054,0.918918919,7.3,25,0.68,11.5,0,0,0,0,0.162162162,0,0,0,0,0,0,0.837837838,0.135135135,0,100,27.94594595,39.64864865,70.5,836.4054054,592.0540541,4.324324324,4.405405405,98.2,12.2972973,12.62162162,97.4,11.13513514,22.32432432,49.9,0,0.005405405,0.002702703,-0.005405405,0.108108108,0.918918919,0.081081081,0,0,39.64864865,27.94594595,11.62162162,4.72972973,0,0.216216216,0,0,0,0,0,0,27.94594595,0.081081081,0.027027027,42.18918919,34.21621622,41.86486486,0.324324324,0,0,42.18918919,0.027027027,0.027027027,100,0,0,28.75675676,154.2432432,102.3243243,0,0,0,0,0,18.86486486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0.005405405,0.005405405,0,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/f41a69e6/Mory-Diaw,Mory Diaw,6/22/1993,Goalkeeper,1500000
Girona,La Liga,Paulo Gazzaniga,ARG,1.071428571,71.14285714,28,0,0,0,0,0,0,0.035714286,0,0.035714286,0,0,0,0.035714286,0.035714286,0.321428571,0.178571429,0.071428571,0.07,0.035714286,0.035714286,0,0,0,0,0,0,0,0,0,0,0,0,1.321428571,1.32,4.464285714,3.107142857,73.6,0.285714286,0.321428571,0.142857143,14.3,0.214285714,0.142857143,0.035714286,0.035714286,20,1.321428571,0.142857143,0,0.142857143,0,1.617857143,0.33,8.3,0.3,5.214285714,14.28571429,36.5,29.35714286,5.035714286,31.1,1.157142857,8.642857143,59.5,1.710714286,17.03571429,1.321428571,7.8,38,1.36,15.1,0.142857143,0,0,0,0.214285714,0,0,0,0,0,0,1.285714286,0.142857143,0,100,27.96428571,38.21428571,73.2,758.5714286,561,7.178571429,7.178571429,100,12.46428571,12.82142857,97.2,8.25,17.89285714,46.1,0,0.007142857,0,-0.007142857,0.035714286,0.75,0,0,0,38.21428571,26.35714286,11.64285714,2.964285714,0,0.107142857,0,0,0,0,0,0,27.96428571,0.214285714,0,40.71428571,35.03571429,40.46428571,0.25,0,0,40.71428571,0.035714286,0.035714286,100,0,0,23.82142857,116.5357143,59.39285714,0,0,0,0.107142857,0.071428571,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0.007142857,0.007142857,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,https://fbref.com/en/players/63d17038/Paulo-Gazzaniga,Paulo Gazzaniga,1/2/1992,Goalkeeper,3000000
Union Berlin,Bundesliga,Frederik Rønnow,DEN,1,68.68965517,29,0,0,0,0,0,0,0.172413793,0,0.172413793,0,0,0,0,0,0.310344828,0.034482759,0.24137931,0.24,0.24137931,0,0,0,0,0,0.034482759,0.03,0.034482759,0,0,0,0,0,0.931034483,0.93,4.103448276,3.172413793,81.5,0.24137931,0.206896552,0.379310345,37.9,0.172413793,0.172413793,0,0,0,0.931034483,0.172413793,0,0.172413793,0,1.213793103,0.26,8.2,0.28,8.275862069,20.86206897,39.7,38.44827586,3.75862069,44.6,1.25862069,5.620689655,66.3,1.703448276,14.96551724,1.482758621,9.9,29,1,13.5,0.068965517,0,0,0,0.137931034,0,0,0,0,0,0,1.448275862,0.344827586,0.068965517,83.3,30.62068966,44.13793103,69.4,924.3448276,717.6206897,4.896551724,4.931034483,99.3,15.03448276,15.03448276,100,10.62068966,24,44.3,0.034482759,0,0.006896552,0.034482759,0.034482759,2.379310345,0.103448276,0,0,44.13793103,35.20689655,8.862068966,3.24137931,0,0,0,0,0,0,0,0,30.62068966,0.068965517,0.068965517,46.20689655,30.44827586,45.44827586,0.793103448,0,0,46.20689655,0,0,0,0,0,29.68965517,162.3793103,107.137931,0,0,0,0,0,25.06896552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0.034482759,0,0,0,0,0,0,0,0,0,0.03,0.03,0,0.03,0,0,0,0,0,https://fbref.com/en/players/a70b8345/Frederik-Ronnow,Frederik Sörensen,4/14/1992,Goalkeeper,600000
Montpellier,Ligue 1,Benjamin Lecomte,FRA,1.631578947,104.7894737,19,0,0,0,0,0,0,0.105263158,0,0.105263158,0,0,0,0,0,0.315789474,0,0.263157895,0.26,0.263157895,0,0,0,0,0,0.052631579,0.05,0.052631579,0,0,0,0,0,1.157894737,1.16,5.052631579,3.789473684,79.2,0.157894737,0.315789474,0.421052632,42.1,0.210526316,0.105263158,0.105263158,0,50,1.157894737,0.105263158,0,0.105263158,0,1.552631579,0.29,7.5,0.4,6.105263158,16.94736842,36,25,3.789473684,46.9,1.989473684,8.684210526,60,2.326315789,14.36842105,0.789473684,5.5,13,0.68,10.8,0,0,0,0,0,0,0,0,0,0,0,1,0.315789474,0.105263158,75,21.63157895,33.84210526,63.9,667.5263158,513.1578947,2.789473684,2.789473684,100,9,9.315789474,96.6,9.789473684,21.52631579,45.5,0,0.005263158,0,-0.005263158,0.052631579,0.157894737,0,0,0,33.84210526,21.94736842,11.73684211,3.052631579,0,0.210526316,0,0,0,0,0,0,21.63157895,0.157894737,0,36.73684211,29.84210526,36.52631579,0.263157895,0,0,36.73684211,0.052631579,0.052631579,100,0,0,22.42105263,132.4210526,83.94736842,0,0,0,0,0,15.47368421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0.005263158,0.005263158,0,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/2fa2a875/Benjamin-Lecomte,Benjamin Lecomte,4/26/1991,Goalkeeper,4000000
Reims,Ligue 1,Yehvann Diouf,FRA,0.709677419,64.48387097,31,0.064516129,0,0.064516129,0,0,0.032258065,0.096774194,33.3,0.064516129,0,0,0,0.032258065,0.096774194,0.419354839,0.161290323,0.129032258,0.13,0.064516129,0.064516129,0,0,0,0,0.032258065,0.03,0.032258065,0,0,0,0,0,1,1,4.419354839,3.451612903,78.1,0.387096774,0.258064516,0.451612903,45.2,0.032258065,0.032258065,0,0,0,1,0.032258065,0.064516129,0.064516129,0.032258065,1.193548387,0.27,7,0.22,4.387096774,9.935483871,44.2,28.19354839,6.161290323,28.3,1.025806452,5.967741935,33,1.106451613,13.87096774,1.290322581,9.3,35,1.13,12.7,0.064516129,0,0,0,0.322580645,0,0,0,0,0,0,1.580645161,0.419354839,0.032258065,92.9,27.4516129,34.29032258,80.1,756.8387097,495.9032258,3.129032258,3.161290323,99,14.83870968,15.03225806,98.7,9.322580645,15.80645161,59,0,0,0,0,0.032258065,0.193548387,0,0,0.032258065,34.29032258,26.22580645,7.935483871,1.967741935,0,0.161290323,0,0,0,0,0,0,27.4516129,0.129032258,0,36.70967742,29.48387097,36.48387097,0.225806452,0,0,36.70967742,0.064516129,0.064516129,100,0,0,27.19354839,132.2258065,75.67741935,0,0,0,0.064516129,0,17.51612903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0.032258065,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/eedea60b/Yehvann-Diouf,Yehvann Diouf,11/16/1999,Goalkeeper,5000000
Lens,Ligue 1,Brice Samba,FRA,0.756756757,53.89189189,37,0.027027027,0,0.027027027,0,0,0.027027027,0.054054054,50,0.027027027,0.027027027,0,0.027027027,0,0.027027027,0.324324324,0.054054054,0.081081081,0.08,0.081081081,0,0,0,0,0,0,0,0,0,0,0,0,0,0.756756757,0.76,3.378378378,2.648648649,80,0.243243243,0.108108108,0.405405405,40.5,0.081081081,0.081081081,0,0,0,0.756756757,0.081081081,0,0.162162162,0.027027027,0.875675676,0.24,5.4,0.15,4.702702703,11.75675676,40,29.05405405,3.783783784,35.5,0.9,4.324324324,33.1,0.883783784,10.37837838,0.918918919,8.9,41,1.11,15.4,0.081081081,0,0,0,0.162162162,0,0,0,0,0,0,1.135135135,0.216216216,0.054054054,80,25.35135135,33.43243243,75.8,676.7027027,451.8108108,5.621621622,5.648648649,99.5,10.67567568,10.86486486,98.3,8.648648649,16.40540541,52.7,0,0.002702703,0,-0.002702703,0.027027027,0.459459459,0.027027027,0,0.027027027,33.43243243,26.62162162,6.756756757,2.432432432,0,0.324324324,0,0,0,0,0,0,25.35135135,0.054054054,0.027027027,35.32432432,25.45945946,34.89189189,0.486486486,0,0,35.32432432,0.027027027,0.027027027,100,0,0,26.67567568,143.1351351,84.24324324,0,0,0,0.027027027,0,19.24324324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0.002702703,0.002702703,0,0.027027027,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/60d90c55/Brice-Samba,Brice Samba,4/25/1994,Goalkeeper,10000000
