Name,Url,Season,Missed_days
Aaron Cresswell,https://www.transfermarkt.com/aaron-cresswell/profil/spieler/92571,20/21,11
Aaron Cresswell,https://www.transfermarkt.com/aaron-cresswell/profil/spieler/92571,19/20,30
Aaron Cresswell,https://www.transfermarkt.com/aaron-cresswell/profil/spieler/92571,18/19,94
Aaron Cresswell,https://www.transfermarkt.com/aaron-cresswell/profil/spieler/92571,16/17,78
Aaron Hickey,https://www.transfermarkt.com/aaron-hickey/profil/spieler/591949,22/23,83
Aaron Hickey,https://www.transfermarkt.com/aaron-hickey/profil/spieler/591949,21/22,13
Aaron Hickey,https://www.transfermarkt.com/aaron-hickey/profil/spieler/591949,20/21,116
Aaron Hickey,https://www.transfermarkt.com/aaron-hickey/profil/spieler/591949,19/20,40
Aaron Ramsdale,https://www.transfermarkt.com/aaron-ramsdale/profil/spieler/427568,19/20,13
Aaron Ramsey,https://www.transfermarkt.com/aaron-ramsey/profil/spieler/50057,21/22,99
Aaron Ramsey,https://www.transfermarkt.com/aaron-ramsey/profil/spieler/50057,20/21,65
Aaron Ramsey,https://www.transfermarkt.com/aaron-ramsey/profil/spieler/50057,19/20,51
Aaron Ramsey,https://www.transfermarkt.com/aaron-ramsey/profil/spieler/50057,18/19,71
Aaron Ramsey,https://www.transfermarkt.com/aaron-ramsey/profil/spieler/50057,17/18,46
Aaron Ramsey,https://www.transfermarkt.com/aaron-ramsey/profil/spieler/50057,16/17,125
Aaron Ramsey,https://www.transfermarkt.com/aaron-ramsey/profil/spieler/50057,15/16,61
Aaron Ramsey,https://www.transfermarkt.com/aaron-ramsey/profil/spieler/50057,14/15,76
Aaron Ramsey,https://www.transfermarkt.com/aaron-ramsey/profil/spieler/50057,13/14,99
Aaron Ramsey,https://www.transfermarkt.com/aaron-ramsey/profil/spieler/50057,11/12,15
Aaron Ramsey,https://www.transfermarkt.com/aaron-ramsey/profil/spieler/50057,10/11,8
Aaron Ramsey,https://www.transfermarkt.com/aaron-ramsey/profil/spieler/50057,09/10,102
Aaron Wan-Bissaka,https://www.transfermarkt.com/aaron-wan-bissaka/profil/spieler/477758,22/23,44
Aaron Wan-Bissaka,https://www.transfermarkt.com/aaron-wan-bissaka/profil/spieler/477758,21/22,16
Aaron Wan-Bissaka,https://www.transfermarkt.com/aaron-wan-bissaka/profil/spieler/477758,19/20,40
Aaron Wan-Bissaka,https://www.transfermarkt.com/aaron-wan-bissaka/profil/spieler/477758,18/19,34
Aarón Martín,https://www.transfermarkt.com/aaron-martin/profil/spieler/251878,19/20,11
Aarón Martín,https://www.transfermarkt.com/aaron-martin/profil/spieler/251878,18/19,8
Abdallah Sima,https://www.transfermarkt.com/abdallah-sima/profil/spieler/776798,21/22,168
