Name,Url,Season,Missed_days,Missed_ankle,Missed_back,Missed_bone,Missed_foot,Missed_knee,Missed_muscle
Aaron Cresswell,https://www.transfermarkt.com/aaron-cresswell/profil/spieler/92571,20/21,11,4,0,0,0,0,7
Aaron Cresswell,https://www.transfermarkt.com/aaron-cresswell/profil/spieler/92571,19/20,30,0,0,0,0,0,22
Aaron Cresswell,https://www.transfermarkt.com/aaron-cresswell/profil/spieler/92571,18/19,94,0,0,0,9,52,27
Aaron Cresswell,https://www.transfermarkt.com/aaron-cresswell/profil/spieler/92571,16/17,78,0,0,0,0,66,12
Aaron Hickey,https://www.transfermarkt.com/aaron-hickey/profil/spieler/591949,22/23,83,83,0,0,0,0,0
Aaron Hickey,https://www.transfermarkt.com/aaron-hickey/profil/spieler/591949,21/22,13,0,0,0,0,0,0
Aaron Hickey,https://www.transfermarkt.com/aaron-hickey/profil/spieler/591949,20/21,116,0,0,0,0,0,0
Aaron Hickey,https://www.transfermarkt.com/aaron-hickey/profil/spieler/591949,19/20,40,0,0,0,0,28,0
Aaron Ramsdale,https://www.transfermarkt.com/aaron-ramsdale/profil/spieler/427568,19/20,13,0,0,0,0,0,0
Aaron Ramsey,https://www.transfermarkt.com/aaron-ramsey/profil/spieler/50057,21/22,99,0,0,0,0,0,87
Aaron Ramsey,https://www.transfermarkt.com/aaron-ramsey/profil/spieler/50057,20/21,65,0,0,0,0,0,65
Aaron Ramsey,https://www.transfermarkt.com/aaron-ramsey/profil/spieler/50057,19/20,51,0,15,10,0,0,21
Aaron Ramsey,https://www.transfermarkt.com/aaron-ramsey/profil/spieler/50057,18/19,71,9,0,0,0,0,55
Aaron Ramsey,https://www.transfermarkt.com/aaron-ramsey/profil/spieler/50057,17/18,46,0,0,0,0,0,46
Aaron Ramsey,https://www.transfermarkt.com/aaron-ramsey/profil/spieler/50057,16/17,125,0,0,0,0,0,125
Aaron Ramsey,https://www.transfermarkt.com/aaron-ramsey/profil/spieler/50057,15/16,61,0,0,0,0,0,61
Aaron Ramsey,https://www.transfermarkt.com/aaron-ramsey/profil/spieler/50057,14/15,76,0,0,0,0,0,76
Aaron Ramsey,https://www.transfermarkt.com/aaron-ramsey/profil/spieler/50057,13/14,99,0,0,0,0,0,99
Aaron Ramsey,https://www.transfermarkt.com/aaron-ramsey/profil/spieler/50057,11/12,15,15,0,0,0,0,0
Aaron Ramsey,https://www.transfermarkt.com/aaron-ramsey/profil/spieler/50057,10/11,8,0,0,0,0,0,8
Aaron Ramsey,https://www.transfermarkt.com/aaron-ramsey/profil/spieler/50057,09/10,102,0,0,0,0,0,0
Aaron Wan-Bissaka,https://www.transfermarkt.com/aaron-wan-bissaka/profil/spieler/477758,22/23,44,0,44,0,0,0,0
Aaron Wan-Bissaka,https://www.transfermarkt.com/aaron-wan-bissaka/profil/spieler/477758,21/22,16,0,0,0,0,0,0
Aaron Wan-Bissaka,https://www.transfermarkt.com/aaron-wan-bissaka/profil/spieler/477758,19/20,40,0,17,0,0,0,0
Aaron Wan-Bissaka,https://www.transfermarkt.com/aaron-wan-bissaka/profil/spieler/477758,18/19,34,0,0,0,0,0,21
Aarón Martín,https://www.transfermarkt.com/aaron-martin/profil/spieler/251878,19/20,11,0,0,0,0,0,11
Aarón Martín,https://www.transfermarkt.com/aaron-martin/profil/spieler/251878,18/19,8,0,0,0,0,8,0
Abdallah Sima,https://www.transfermarkt.com/abdallah-sima/profil/spieler/776798,21/22,168,36,33,0,0,0,99
Abdallah Sima,https://www.transfermarkt.com/abdallah-sima/profil/spieler/776798,20/21,29,0,0,0,0,0,29
Abdelhamid Sabiri,https://www.transfermarkt.com/abdelhamid-sabiri/profil/spieler/340394,22/23,45,0,0,0,0,0,20
Abdelhamid Sabiri,https://www.transfermarkt.com/abdelhamid-sabiri/profil/spieler/340394,20/21,11,0,0,0,0,0,0
Abdelhamid Sabiri,https://www.transfermarkt.com/abdelhamid-sabiri/profil/spieler/340394,19/20,17,0,17,0,0,0,0
Abdelhamid Sabiri,https://www.transfermarkt.com/abdelhamid-sabiri/profil/spieler/340394,18/19,97,14,0,83,0,0,0
Abdelhamid Sabiri,https://www.transfermarkt.com/abdelhamid-sabiri/profil/spieler/340394,16/17,58,0,0,0,0,58,0
Abdelhamid Sabiri,https://www.transfermarkt.com/abdelhamid-sabiri/profil/spieler/340394,15/16,71,0,0,0,0,71,0
Abdou Diallo,https://www.transfermarkt.com/abdou-diallo/profil/spieler/229005,22/23,72,0,0,0,0,72,0
Abdou Diallo,https://www.transfermarkt.com/abdou-diallo/profil/spieler/229005,20/21,54,0,0,0,0,0,34
Abdou Diallo,https://www.transfermarkt.com/abdou-diallo/profil/spieler/229005,19/20,40,0,0,0,0,0,25
Abdou Diallo,https://www.transfermarkt.com/abdou-diallo/profil/spieler/229005,18/19,83,0,0,0,0,0,83
Abdou Diallo,https://www.transfermarkt.com/abdou-diallo/profil/spieler/229005,17/18,49,0,4,22,0,11,8
Abdou Harroui,https://www.transfermarkt.com/abdou-harroui/profil/spieler/416386,21/22,55,0,0,0,0,0,0
