"","player_name","player_url","season_injured","injury","injured_since","injured_until","duration","games_missed","club"
"1","
                                    
                        #3                    
                                Aaron Cresswell            ","https://www.transfermarkt.com/aaron-cresswell/profil/spieler/92571","20/21","Ankle Injury",2020-12-18,2020-12-21,"3 days","1","West Ham United"
"2","
                                    
                        #3                    
                                Aaron Cresswell            ","https://www.transfermarkt.com/aaron-cresswell/profil/spieler/92571","20/21","Groin Injury",2020-11-01,2020-11-07,"6 days","1","West Ham United"
"3","
                                    
                        #3                    
                                Aaron Cresswell            ","https://www.transfermarkt.com/aaron-cresswell/profil/spieler/92571","19/20","Knock",2020-07-23,2020-07-31,"8 days","1","West Ham United"
"4","
                                    
                        #3                    
                                Aaron Cresswell            ","https://www.transfermarkt.com/aaron-cresswell/profil/spieler/92571","19/20","Knock",2020-01-02,2020-01-09,"7 days","1","West Ham United"
"5","
                                    
                        #3                    
                                Aaron Cresswell            ","https://www.transfermarkt.com/aaron-cresswell/profil/spieler/92571","19/20","Hamstring Injury",2019-12-11,2019-12-13,"2 days",NA,"West Ham United"
"6","
                                    
                        #3                    
                                Aaron Cresswell            ","https://www.transfermarkt.com/aaron-cresswell/profil/spieler/92571","19/20","Groin Injury",2019-10-06,2019-10-24,"18 days","1","West Ham United"
"7","
                                    
                        #3                    
                                Aaron Cresswell            ","https://www.transfermarkt.com/aaron-cresswell/profil/spieler/92571","18/19","Knee Injury",2019-04-10,2019-05-31,"51 days","5","West Ham United"
"8","
                                    
                        #3                    
                                Aaron Cresswell            ","https://www.transfermarkt.com/aaron-cresswell/profil/spieler/92571","18/19","Head Injury",2019-03-03,2019-03-08,"5 days",NA,"West Ham United"
"9","
                                    
                        #3                    
                                Aaron Cresswell            ","https://www.transfermarkt.com/aaron-cresswell/profil/spieler/92571","18/19","Fractured Toe",2019-02-24,2019-03-01,"5 days","1","West Ham United"
"10","
                                    
                        #3                    
                                Aaron Cresswell            ","https://www.transfermarkt.com/aaron-cresswell/profil/spieler/92571","18/19","Foot Injury",2019-02-06,2019-02-08,"2 days",NA,"West Ham United"
"11","
                                    
                        #3                    
                                Aaron Cresswell            ","https://www.transfermarkt.com/aaron-cresswell/profil/spieler/92571","18/19","Hamstring Injury",2019-01-20,2019-02-03,"14 days","2","West Ham United"
"12","
                                    
                        #3                    
                                Aaron Cresswell            ","https://www.transfermarkt.com/aaron-cresswell/profil/spieler/92571","18/19","Hamstring Injury",2018-12-02,2018-12-07,"5 days","1","West Ham United"
"13","
                                    
                        #3                    
                                Aaron Cresswell            ","https://www.transfermarkt.com/aaron-cresswell/profil/spieler/92571","18/19","Calf Injury",2018-10-28,2018-11-02,"5 days","1","West Ham United"
"14","
                                    
                        #3                    
                                Aaron Cresswell            ","https://www.transfermarkt.com/aaron-cresswell/profil/spieler/92571","16/17","Groin Strain",2016-11-30,2016-12-11,"11 days","3","West Ham United"
"15","
                                    
                        #3                    
                                Aaron Cresswell            ","https://www.transfermarkt.com/aaron-cresswell/profil/spieler/92571","16/17","Knee Injury",2016-07-23,2016-10-15,"84 days","13","West Ham United"
"16","
                                    
                        #2                    
                                Aaron Hickey            ","https://www.transfermarkt.com/aaron-hickey/profil/spieler/591949","22/23","Ankle Injury",2022-10-10,2022-12-31,"82 days","9","Brentford FC"
"17","
                                    
                        #2                    
                                Aaron Hickey            ","https://www.transfermarkt.com/aaron-hickey/profil/spieler/591949","21/22","Corona virus",2022-01-01,2022-01-13,"12 days","1","Bologna FC 1909"
"18","
                                    
                        #2                    
                                Aaron Hickey            ","https://www.transfermarkt.com/aaron-hickey/profil/spieler/591949","20/21","Surgery",2021-04-03,2021-06-07,"65 days","10","Bologna FC 1909"
"19","
                                    
                        #2                    
                                Aaron Hickey            ","https://www.transfermarkt.com/aaron-hickey/profil/spieler/591949","20/21","Shoulder Injury",2021-02-28,2021-03-13,"13 days","2","Bologna FC 1909"
"20","
                                    
                        #2                    
                                Aaron Hickey            ","https://www.transfermarkt.com/aaron-hickey/profil/spieler/591949","20/21","Corona virus",2020-12-13,2021-01-01,"19 days","4","Bologna FC 1909"
"21","
                                    
                        #2                    
                                Aaron Hickey            ","https://www.transfermarkt.com/aaron-hickey/profil/spieler/591949","20/21","Unknown Injury",2020-11-07,2020-11-22,"15 days","2","Bologna FC 1909"
"22","
                                    
                        #2                    
                                Aaron Hickey            ","https://www.transfermarkt.com/aaron-hickey/profil/spieler/591949","19/20","Knee Injury",2020-01-18,2020-02-14,"27 days","7","Heart of Midlothian FC"
"23","
                                    
                        #2                    
                                Aaron Hickey            ","https://www.transfermarkt.com/aaron-hickey/profil/spieler/591949","19/20","Knock",2019-12-02,2019-12-13,"11 days","2","Heart of Midlothian FC"
